Patient ID: test 
Source fiber Name: miniLBS
Study File: 
Number of Lasers: 4 
Data Calibrated: 
Source-Detector (mm): 10.000 
Number of Scans: 1 
Number of sweeps per scan: 74
Freq Range (MHz): 50 - 299 
Number of Points: 250 
Date acquired: test 
Laser names: 785,808,830,850,
Comment: 
Pos X: 670.212, Pos Y: 159.895, Theta: -2.259, Phi: 0.053
*****************************end of header
Frequency (MHz) 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	
50.0	-30.224404034245705	1.2689715956892977	-40.0285866945171	1.6356703923200608	69.10935352046803	1.4241796223942649	46.5370314989565	0.9289760535909438
51.0	-10.202376554440363	1.2812108881228312	-19.511625242588163	1.65537182795676	91.27039008511744	1.419421170268544	68.01936864438001	0.9301943820140227
52.0	9.62491035332379	1.29127963397956	0.7103877158617129	1.6586245267156858	113.46336232581832	1.4071666948352655	89.78462735821499	0.9382821235589129
53.0	29.495567474515095	1.295442505314978	19.820417675680485	1.6684358706760942	135.01765553906736	1.4075711050104172	111.07160539405513	0.9417480884093159
54.0	49.80827950907124	1.3109422336301784	40.038718683965435	1.684760607043536	157.67362183536522	1.4133739104952472	132.58091349679358	0.9621163151202555
55.0	70.19628573938795	1.3101858716813652	60.442970149058624	1.6983677615170139	179.29106768540416	1.451166371128785	154.5570846864626	0.9606406737393938
56.0	90.85121230089032	1.3214738282701826	81.27067749204693	1.692066171954583	202.66226714728774	1.4582590895569205	177.05483381297984	0.9613658962605672
57.0	112.8356301412728	1.2878536312827082	102.4086976019784	1.6663497533597287	226.13086813075836	1.417823789276959	200.3274625289145	0.9467749612830674
58.0	132.36308564378425	1.2422359381401928	122.51359150869912	1.586510387115211	248.74928491240817	1.3484601862410204	222.2022137406964	0.902481271589184
59.0	152.2211333524375	1.1290604059538232	142.26591680815437	1.4600365056082651	270.0092901510962	1.249278012341153	243.91451320323506	0.8253861663921985
60.0	168.34752053867052	1.0710280926274727	157.5304967022254	1.3642433042369912	287.8087325388161	1.1666935808854721	260.4110385685452	0.7792702984451934
61.0	183.07479702971432	1.045773610469137	172.55417069631625	1.3380822162778263	304.9986867983397	1.1429930515038014	277.48777444279335	0.76067765958148
62.0	198.67683637186127	1.0422956044203031	188.101918430812	1.3434761394965569	322.5795615235086	1.1290629487601607	294.0333717512545	0.7599275432068581
63.0	215.01615059138175	1.0495516954076396	204.58912822351655	1.3376337616660166	340.48910493159946	1.1261748733866666	312.46790841525006	0.7638134367269849
64.0	231.55513006497702	1.0518144698361211	220.999072088557	1.3474940020578263	359.0811759730366	1.1345913626018793	330.48685653246474	0.7577412876494191
65.0	248.54945293245893	1.0608507514230687	237.37960051662614	1.3517074086166152	378.142169087987	1.1404700838952608	349.47403335827585	0.7654947651211264
66.0	265.14391655958127	1.0608162698485553	254.23081226328074	1.3482297334839943	396.6479145681304	1.1371964756770903	366.75030351889546	0.782203635756981
