Patient ID: test 
Source fiber Name: miniLBS
Study File: 
Number of Lasers: 4 
Data Calibrated: 
Source-Detector (mm): 10.000 
Number of Scans: 1 
Number of sweeps per scan: 74
Freq Range (MHz): 50 - 299 
Number of Points: 250 
Date acquired: test 
Laser names: 785,808,830,850,
Comment: 
Pos X: 677.426, Pos Y: 480.493, Theta: 1.777, Phi: 0.121
*****************************end of header
Frequency (MHz) 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	
50.0	-29.86043707544776	1.2872457130820096	-39.53513531225997	1.6348980669222914	68.73801635260327	1.4153288069832097	45.86983428735323	0.941381220826821
51.0	-10.18931919180273	1.2893653223105546	-19.634073215837482	1.638129457429501	90.86155016832436	1.4114792256320303	68.05713048020418	0.9335022555917776
52.0	9.941801491847977	1.2940548403784977	0.10196982870620906	1.6595147512223616	113.20301087462934	1.4176984346974555	89.26398491838644	0.9402589182679564
53.0	29.768334690123943	1.3132394030770735	20.06142700704606	1.6628463435449667	135.32798400937259	1.431894451543069	111.00992868275114	0.9477071930756398
54.0	50.11324010948583	1.3221308270709662	39.840202684775115	1.6746367072971422	157.01206713251918	1.4469522427446955	132.32568711972706	0.9520799822698954
55.0	69.89086471767261	1.3227616893222378	60.23318385935309	1.701972458602549	179.91588670380236	1.4547145716371708	154.61240796059874	0.9597870013565447
56.0	91.06458212232144	1.3232830877936306	80.82579506109391	1.6941747796734585	202.55616468802887	1.4510070555725678	177.587166481293	0.9679402768034385
57.0	112.703223495964	1.2985928886170786	102.76387640939419	1.6617640592047396	226.37891311116482	1.4246799648597688	200.26431410957662	0.9356431947890678
58.0	132.91382527973076	1.2424432665393828	122.82116838111882	1.5923675776570971	248.78313799994163	1.3437644153560455	221.96096642433173	0.9026863194386515
59.0	152.1031100617207	1.1432890478946456	142.14363185477805	1.4687180531731827	269.9714108702851	1.2473910822982222	243.67819573431245	0.8202314408314217
60.0	167.21691353521783	1.0698625671783737	157.73421933566988	1.3549615665938788	287.4983573787428	1.16514690856959	260.32055269712373	0.7701466708124275
61.0	183.13370056740047	1.0470819186724236	172.74000083499044	1.324971036635482	304.5710113783553	1.1286587144834077	277.41357181521374	0.751361106087082
62.0	198.5725774086897	1.049628631539835	188.08510098775963	1.3274737136809045	322.18230672500357	1.1315581156585597	294.0821683664365	0.7610605292117906
63.0	215.1424919551381	1.0552417231589453	204.20336915083203	1.3265620079334657	340.4666734240745	1.1318710398793697	312.62202415557226	0.7689563493915708
64.0	231.65524421508118	1.0489772032455689	220.68031336741385	1.3466868928475335	359.0798376042771	1.139130375552665	330.3160410861375	0.7667635781707951
65.0	248.2414090786419	1.064875126802866	237.29748771164384	1.3547314045913197	377.7130208778325	1.142603550773611	348.7312916017159	0.782372619721359
66.0	265.5527752314693	1.0639183292753973	254.1953834484489	1.3427378514000674	397.3538712385164	1.1460514241168984	366.97739067358503	0.7593435222848628
67.0	282.254299070781	1.063979463246792	270.3661805299699	1.3583131013348486	416.371240778935	1.1417019574966656	386.1491115726028	0.7683448583223653
68.0	298.70377051841734	1.060224448039312	287.4283936794932	1.346238020006941	435.1278309878301	1.1414835949727595	404.26266286734966	0.7699209094666833
69.0	315.1676632244879	1.067307952759423	304.236749806743	1.3502295501349775	454.00964113273056	1.1321406316989608	423.06999329138677	0.7635686247505297
70.0	332.52680969064863	1.0580924044560627	321.1800222138215	1.3483901173452504	472.5193952967433	1.1308594047185387	440.92892504054527	0.7637254298604603
71.0	348.61410219941945	1.0610013388511919	337.5369465385946	1.343149981478748	492.114322853433	1.1347994304733566	459.5023316635332	0.761451609074769
72.0	365.85942670213416	1.0604870595412932	354.1078020006	1.3513574645722213	509.9575745582264	1.1313940252620878	477.32058885817827	0.7753226726994517
73.0	381.91390692043376	1.0547387349054496	370.0826780458069	1.3563825755077465	528.7859839884089	1.1255807696373792	495.5642163541076	0.7640868884860882
74.0	398.8141714507055	1.0555492913552258	386.74876220799695	1.3405797694026147	546.9664835333044	1.1141469013907968	514.7054751749276	0.7837541083470883
75.0	414.2525708513222	1.0622966356435561	402.96360317230403	1.3427714154329926	565.2260775207469	1.1197439747656952	531.8498254788922	0.7564325164274499
76.0	431.3337701589716	1.0579168600070306	419.2281127312181	1.3376147320210539	584.1253097623546	1.1236548690096568	549.3102159282793	0.7602208039164854
77.0	447.7230107872949	1.0681652344139911	435.17664893433255	1.3441200792807602	602.2018239606086	1.1088141315164004	566.9583907276132	0.773056692233162
78.0	463.52764057200375	1.0617356581261836	451.3150762862552	1.3448912253285454	620.2917958507131	1.1097169478469942	585.4625961678362	0.7583104860359603
79.0	479.69388348075296	1.0635691087348835	467.6150783412694	1.3417157872558965	638.0573451717593	1.1146489437400717	602.7854313728307	0.7666423505524329
80.0	495.54743669451943	1.0708590202250623	483.456626983525	1.3398453697623454	656.3712393478432	1.1024500034541538	620.454633448549	0.7631942043864646
81.0	511.37886802296975	1.0724313010916469	499.2422913962425	1.3461290475344885	675.0340042492547	1.0990492703282906	638.5847059485951	0.7568110512400996
82.0	528.0617364756647	1.067022595562533	515.3295995600133	1.3431008582276194	693.4075912578458	1.1058785847816521	656.0840012583745	0.7641188144275944
83.0	543.7740893145661	1.069810151162039	531.4524342006381	1.344344340164981	710.8869313224237	1.100927028881267	674.3605939358283	0.7656621748307942
