X-position, Y-position, theta, phi, mua, mus, mua, mus, mua, mus, mua, mus, muaLUT, musLUT, muaLUT, musLUT, muaLUT, musLUT, muaLUT, musLUT
815.55, 433.11, 1.4730, 0.0860, 0.0193, 0.5633, 0.0189, 0.5318, 0.0163, 0.5063, 0.0146, 0.5097, 0.0189, 0.5819, 0.0123, 0.5522, 0.0145, 0.5812, 0.0129, 0.5803
830.56, 426.08, 1.3290, 0.0640, 0.0178, 0.5855, 0.0172, 0.5694, 0.0147, 0.5520, 0.0137, 0.5332, 0.0178, 0.4021, 0.0155, 0.6166, 0.0148, 0.5658, 0.0152, 0.3275
849.88, 413.28, 0.9960, 0.0610, 0.0167, 0.5874, 0.0158, 0.5825, 0.0135, 0.5809, 0.0129, 0.5259, 0.0173, 0.5693, 0.0117, 0.4488, 0.0108, 0.7051, 0.0083, 0.2000
871.27, 394.46, 0.8920, 0.0590, 0.0160, 0.6156, 0.0154, 0.5933, 0.0136, 0.5577, 0.0121, 0.5620, 0.0152, 0.6447, 0.0138, 0.6506, 0.0150, 0.5138, 0.0111, 0.6152
842.45, 374.88, 0.6930, 0.0620, 0.0171, 0.5919, 0.0166, 0.5712, 0.0137, 0.5763, 0.0132, 0.5379, 0.0206, 0.4846, 0.0141, 0.4145, 0.0137, 0.5820, 0.0111, 0.6166
829.00, 390.45, 1.1900, 0.0680, 0.0180, 0.5663, 0.0177, 0.5375, 0.0153, 0.5256, 0.0138, 0.5115, 0.0169, 0.6024, 0.0177, 0.4925, 0.0129, 0.6162, 0.0141, 0.5002
825.34, 361.89, 0.7530, 0.0240, 0.0172, 0.5799, 0.0168, 0.5537, 0.0143, 0.5457, 0.0131, 0.5266, 0.0137, 0.4249, 0.0111, 0.2878, 0.0077, 0.2783, 0.0112, 0.6026
786.38, 359.78, 0.1560, 0.0150, 0.0193, 0.5541, 0.0189, 0.5258, 0.0161, 0.5119, 0.0147, 0.5063, 0.0177, 0.3467, 0.0156, 0.3338, 0.0143, 0.5837, 0.0137, 0.2670
761.95, 356.68, 1.9170, 0.0150, 0.0195, 0.5534, 0.0192, 0.5272, 0.0166, 0.5007, 0.0150, 0.5024, 0.0211, 0.5119, 0.0154, 0.5419, 0.0155, 0.5532, 0.0075, 0.2333
779.11, 264.97, -1.1030, 0.0170, 0.0155, 0.6324, 0.0152, 0.6025, 0.0130, 0.5815, 0.0119, 0.5723, 0.0100, 0.3012, 0.0127, 0.7019, 0.0132, 0.5866, 0.0127, 0.5506
780.01, 261.93, -1.5210, 0.0130, 0.0155, 0.6318, 0.0150, 0.6084, 0.0128, 0.5911, 0.0116, 0.5827, 0.0115, 0.3782, 0.0128, 0.6946, 0.0114, 0.6522, 0.0107, 0.5311
785.60, 223.26, -1.1890, 0.0340, 0.0154, 0.6314, 0.0149, 0.6086, 0.0129, 0.5848, 0.0116, 0.5793, 0.0158, 0.6244, 0.0153, 0.5968, 0.0100, 0.5538, 0.0120, 0.5622
788.01, 165.76, -1.4400, 0.0620, 0.0156, 0.6291, 0.0153, 0.5976, 0.0130, 0.5859, 0.0118, 0.5776, 0.0157, 0.6306, 0.0159, 0.5758, 0.0136, 0.5686, 0.0105, 0.6322
788.09, 124.37, -1.4370, 0.0670, 0.0158, 0.6151, 0.0155, 0.5858, 0.0132, 0.5710, 0.0119, 0.5653, 0.0149, 0.6549, 0.0150, 0.6057, 0.0121, 0.6155, 0.0104, 0.6176
761.37, 50.28, -1.5220, 0.1010, 0.0155, 0.6219, 0.0150, 0.5963, 0.0132, 0.5676, 0.0119, 0.5605, 0.0152, 0.6406, 0.0143, 0.6220, 0.0123, 0.6089, 0.0097, 0.6521
